83,2898,39,27.4,83.8,35600,26.44,10.283,27.8
369,15556,308,175.6,443,194000,73.88,17.08,64.75
525,14816,560,270,845,326000,72.8,24.1,79.8
340,6670,165,90.9,260,105210.5858,54.08,16.6634,44.85
200,4150,89,47.77,123,60000,44.51,12.1,34.1
460,9801,340.194,162.5,511,187000,70.66,19.5834,59.64
500,12401,377.842,173,511,219000,70.66,19.5834,59.64
285,6288,122.469,64.58,185.3,85000,54.4322,13.6398,38.05
250,9401,142.881,80.286,283.3,113500,48.514,16.129,47.57
172,3860,70.76,40,112.3,50000,46.5,9.1948,32.87
124,3704,50.79,28.58,92.5,37000,38.65,10.541,28.73
146,4537,61.5,33.3,103,46000,32.3088,9.9568,31
180,3860,68.038,33.2,135.3,36000,39.98,8.625,29.87
